movieId,title,year,genres,imdbId,link,time,budget,cast,director
1,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy,0114709,http://www.imdb.com/title/tt0114709,81.0,3e7,Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|John Morris|Erik von Detten|Laurie Metcalf|R. Lee Ermey|Sarah Freeman|Penn Jillette|Jack Angel|Spencer Aste,John Lasseter
2,Jumanji,1995,Adventure|Children|Fantasy,0113497,http://www.imdb.com/title/tt0113497,104.0,5e7,Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce|Bonnie Hunt|Bebe Neuwirth|David Alan Grier|Patricia Clarkson|Adam Hann-Byrd|Laura Bell Bundy|James Handy|Gillian Barber|Brandon Obray|Cyrus Thiedeke|Gary Joseph Thorup,Joe Johnston
3,Grumpier Old Men,1995,Comedy|Romance,0113228,http://www.imdb.com/title/tt0113228,101.0,25e6,Walter Matthau|Jack Lemmon|Sophia Loren|Ann-Margret|Burgess Meredith|Daryl Hannah|Kevin Pollak|Katie Sagona|Ann Morgan Guilbert|James Andelin|Marcus Klemp|Max Wright|Cheryl Hawker|Wayne A. Evenson|Allison Levine,Howard Deutch
4,Waiting to Exhale,1995,Comedy|Drama|Romance,0114885,http://www.imdb.com/title/tt0114885,124.0,16e6,Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines|Dennis Haysbert|Mykelti Williamson|Michael Beach|Leon|Wendell Pierce|Donald Faison|Jeffrey D. Sams|Jazz Raycole|Brandon Hammond|Kenya Moore,Forest Whitaker
5,Father of the Bride Part II,1995,Comedy,0113041,http://www.imdb.com/title/tt0113041,106.0,3e7,Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern|Kieran Culkin|BD Wong|Peter Michael Goetz|Kate McGregor-Stewart|Jane Adams|Eugene Levy|Rebecca Chambers|April Ortiz|Dulcy Rogers|Kathy Anthony,Charles Shyer
6,Heat,1995,Action|Crime|Thriller,0113277,http://www.imdb.com/title/tt0113277,170.0,6e7,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore|Diane Venora|Amy Brenneman|Ashley Judd|Mykelti Williamson|Wes Studi|Ted Levine|Dennis Haysbert|William Fichtner|Natalie Portman|Tom Noonan,Michael Mann
7,Sabrina,1995,Comedy|Romance,0114319,http://www.imdb.com/title/tt0114319,127.0,58e6,Harrison Ford|Julia Ormond|Greg Kinnear|Nancy Marchand|John Wood|Richard Crenna|Angie Dickinson|Lauren Holly|Dana Ivey|Miriam Colon|Elizabeth Franz|Fanny Ardant|Valérie Lemercier|Patrick Bruel|Becky Ann Baker,Sydney Pollack
8,Tom and Huck,1995,Adventure|Children,0112302,http://www.imdb.com/title/tt0112302,97.0,NA,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig|Charles Rocket|Amy Wright|Michael McShane|Marian Seldes|Rachael Leigh Cook|Lanny Flaherty|Courtland Mead|Peter Mackenzie|Heath Lamberts|William Newman|Joey Stinson|Blake Heron,Peter Hewitt
9,Sudden Death,1995,Action,0114576,http://www.imdb.com/title/tt0114576,111.0,35e6,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry|Whittni Wright|Ross Malinger|Dorian Harewood|Kate McNeil|Michael Gaston|Audra Lindley|Brian Delate|Steve Aronson|Michael R. Aubele|Karen Elise Baldwin|Jennifer D. Bowser|Pat Brisson,Peter Hyams
10,GoldenEye,1995,Action|Adventure|Thriller,0113189,http://www.imdb.com/title/tt0113189,130.0,6e7,Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker|Judi Dench|Robbie Coltrane|Gottfried John|Alan Cumming|Tchéky Karyo|Desmond Llewelyn|Samantha Bond|Michael Kitchen|Serena Gordon|Simon Kunz,Martin Campbell
